book title,pages,location,has read
three body problem,,memory,TRUE
Maus,,memory,TRUE
Solanin,,memory,TRUE
speaker for the dead,,memory,TRUE
enders game,,memory,TRUE
dark forest,,memory,TRUE
american gods,,memory,TRUE
Good omens,,memory,TRUE
stardust,,memory,TRUE
no longer human,,memory,TRUE
catch 22,,memory,TRUE
fahenheit 451,,memory,TRUE
uglies,,memory,TRUE
brave new world,,memory,TRUE
1984,,"memory, unowned",TRUE
Greenwood,,memory,TRUE
sandman vol 1,,memory,TRUE
sandman vol 2,,memory,TRUE
sandman vol 3,,memory,TRUE
sandman vol 4,,memory,TRUE
geometry for ocelots,,memory,TRUE
prince of milk,,memory,TRUE
the fifth science,,memory,TRUE
sinopticon,,memory,TRUE
invisible planets,,memory,TRUE
essence of being a muse vol 1,,"sc room, memory",TRUE
essence of being a muse vol 2,,"sc room, memory",TRUE
essence of being a muse vol 3,,"sc room, memory",TRUE
percy jackson 1-5,,"memory, childhood",TRUE
heros of olympus 1-5,,"childhood, memory",TRUE
kane cronicles,,"childhood, memory",TRUE
magnus chase series,,"childhood, memory",TRUE
geromino stilton books,,"childhood, memory",TRUE
i survived series,,"childhood, memory",TRUE
hardy boys series,,"childhood, memory",TRUE
harry potter series,,"childhood, memory",TRUE
of mice and men,,memory,TRUE
the namesake,,memory,TRUE
tangerine,,"childhood, memory",TRUE
to kill a mocking bird,,memory,TRUE
hamlet,,memory,TRUE
romeo and juliet,,memory,TRUE
othello,,memory,TRUE
phantom tollbooth,,"childhood, memory",TRUE
color of magic,,memory,TRUE
mort,,memory,TRUE
wings of fire,,"childhood, memory",TRUE
autobiography of a corpse,,memory,TRUE
dead souls,,memory,TRUE
Ultimate Hitchhikers Guide to the Galaxy,,sc room,TRUE
Walkaway ,,sc room,FALSE
Little Brother,,sc room,TRUE
Homeland,,sc room,TRUE
For the Win,,memory,TRUE
Makers,,sc room,FALSE
Riceboy,,sc room,TRUE
I'm a Terminal Cancer Patient but im fine,,sc room,TRUE
Senor Vivo and the Coca Lord,,sc room,FALSE
the toothpaste millionare,,memory,TRUE
The long dark tea time of the soul,,sc room,TRUE
A journal of the plague years,,sc room,FALSE
Neverwhere,,sc room,FALSE
Signs Preceding the end of the world,,sc room,TRUE
Delivered from Distraction,,sc room,FALSE
Last Man in Tower,,sc room,FALSE
The Stranger,,sc room,FALSE
History of the Internet,,sc room,FALSE
Collected Stories of Deborah Eisenberg,,sc room,FALSE
The Imaginitive Argument,,sc room,FALSE
Blind Assassin,,sc room,FALSE
Stress Free Productivity,,sc room,FALSE
The Ocean at the End of the Lake,,sc room,FALSE
Beyond Absence,,sc room,FALSE
The Long War,,sc room,FALSE
Anasi Boys,,sc room,FALSE
Guardian Angels and Other Monsters,,sc room,FALSE
The Eighth Promise,,sc room,FALSE
The Creative Act,,sc room,TRUE
Ghibliotheque Anime Movie Guide,,sc room,TRUE
Visions 2024,,sc room,FALSE
Illustration 2023,,sc room,TRUE
Animator's Survival Kit,,sc room,FALSE
Cartoon Animation,,sc room,TRUE
Charles Dickens Collection,,records,TRUE
Good as Gold,,records,FALSE
Closing Time,,"memory, unowned",TRUE
All Quiet on the Western Front,,"unowned, memory",TRUE
We have always lived in the Castle,,records,TRUE
Sideways stories from wayside school,,"records, childhood",TRUE
Lord of the Flies,,"records, childhood",TRUE
Maze Runner (series),,,TRUE
Hunger Games (series),,,TRUE
The Atlantropa Articles,,,TRUE
The Coming Man,,,TRUE
Solutions and Other Problems,,,TRUE
Tokyo Ueno Station,,,TRUE
Fall of the house of Usher,,,FALSE
Catcher in the Rye,,,TRUE
Holes,,,TRUE
Island,,,TRUE
Slaughterhouse Five,,unowned,TRUE
Wesleyan Anthology of Sci Fi,,,FALSE
Math Adventures with Python,,,TRUE
Python Crash Course,,,TRUE
C Programming Language,,,TRUE
The Hundred Brothers,,,FALSE
To an Early Grave,,,FALSE
Foundryside,,,FALSE
Consiracy of Paper,,,FALSE
Spectacle of Corruption,,,FALSE
Mister Posterior and the Genius Child,,,FALSE
The Time Machine and other stories,,,TRUE
Canton Footprints,,,FALSE
Blown to Bits,,,TRUE
Percy Jackson Greek Heros,,,TRUE
Percy Jackson Greek Gods,,,TRUE
Elden Ring Official Art Book,,,TRUE
The Art of Overwatch,,,TRUE
FoxTrot The Works,,,TRUE
FoxTrot En Masse,,,TRUE
